Time,Signal,Price,EMA9,EMA21,RSI,Volume,VolumeMA,4H,Reason
2026-03-26 19:45:00,HOLD,69479.92,69523.46,69587.27,41.86,263.98,219.63,false,No active cross event
2026-03-26 20:00:00,HOLD,68950.99,69408.97,69529.43,28.02,599.49,237.07,false,No active cross event
2026-03-26 20:15:00,HOLD,69030.49,69333.27,69484.07,31.68,685.64,265.87,false,No active cross event
2026-03-26 20:30:00,HOLD,68988.75,69264.37,69439.04,30.79,212.75,269.93,false,No active cross event
2026-03-26 20:45:00,HOLD,69082.64,69228.02,69406.64,35.18,307.20,275.18,false,No active cross event
2026-03-26 21:00:00,HOLD,69022.57,69186.93,69371.73,33.71,278.51,280.35,false,No active cross event
2026-03-26 21:15:00,HOLD,68888.01,69127.15,69327.75,30.62,384.32,282.71,false,No active cross event
2026-03-26 21:30:00,HOLD,68918.29,69085.38,69290.53,32.13,181.90,283.97,false,No active cross event
2026-03-26 21:45:00,HOLD,68932.52,69054.80,69257.98,32.86,104.80,282.47,false,No active cross event
2026-03-26 22:00:00,HOLD,68921.51,69028.15,69227.39,32.57,128.29,280.34,false,No active cross event
2026-03-26 22:15:00,HOLD,69082.98,69039.11,69214.27,40.94,86.72,277.69,false,No active cross event
2026-03-26 22:30:00,HOLD,68957.74,69022.84,69190.94,37.09,169.62,278.32,false,No active cross event
2026-03-26 22:45:00,HOLD,68486.86,68915.64,69126.94,26.87,745.90,309.50,false,No active cross event
2026-03-26 23:00:00,HOLD,68459.44,68824.40,69066.26,26.41,298.59,311.07,false,No active cross event
2026-03-26 23:15:00,HOLD,68203.58,68700.24,68987.83,22.56,512.46,327.87,false,No active cross event
2026-03-26 23:30:00,HOLD,68336.67,68627.52,68928.63,28.41,415.31,333.30,false,No active cross event
2026-03-26 23:45:00,HOLD,68497.25,68601.47,68889.42,34.81,176.20,311.55,false,No active cross event
2026-03-27 00:00:00,HOLD,68457.40,68572.66,68850.14,34.00,104.84,304.17,false,No active cross event
2026-03-27 00:15:00,HOLD,68435.96,68545.32,68812.49,33.54,127.45,300.82,false,No active cross event
2026-03-27 00:30:00,HOLD,68633.12,68562.88,68796.18,41.30,145.18,296.46,false,No active cross event
2026-03-27 00:45:00,HOLD,68534.36,68557.17,68772.38,38.85,166.50,291.58,false,No active cross event
2026-03-27 01:00:00,HOLD,69201.99,68686.14,68811.44,57.27,775.98,300.41,false,No active cross event
2026-03-27 01:15:00,HOLD,69168.99,68782.71,68843.94,56.37,507.70,291.51,false,No active cross event
2026-03-27 01:30:00,HOLD,69158.79,68857.92,68872.56,56.07,164.04,289.08,false,No active cross event
2026-03-27 01:45:00,HOLD,69005.21,68887.38,68884.62,51.69,259.94,286.71,false,RSI not oversold
2026-03-27 02:00:00,HOLD,68912.92,68892.49,68887.20,49.20,174.21,281.50,false,RSI not oversold
2026-03-27 02:15:00,HOLD,69092.49,68932.49,68905.86,53.86,177.25,271.14,false,RSI not oversold
2026-03-27 02:30:00,HOLD,69020.98,68950.19,68916.32,51.82,119.69,268.03,false,RSI not oversold
2026-03-27 02:45:00,HOLD,68921.10,68944.37,68916.76,49.03,127.54,269.17,false,No active cross event
2026-03-27 03:00:00,HOLD,68955.84,68946.66,68920.31,50.04,98.37,267.67,false,No active cross event
2026-03-27 03:15:00,HOLD,68754.44,68908.22,68905.23,44.55,191.49,272.91,false,No active cross event
2026-03-27 03:30:00,HOLD,68796.22,68885.82,68895.32,45.87,107.34,269.80,false,RSI not overbought
2026-03-27 03:45:00,HOLD,68892.67,68887.19,68895.08,48.91,87.19,236.86,false,RSI not overbought
